id,gender,last,book,child,youth,cook,do_it,reference,art,geog,buyer
10003,1,15,25,0,0,2,0,0,0,0,0
10006,1,7,15,0,1,0,0,0,0,0,1
10013,1,13,15,0,0,0,1,0,0,0,0
10015,1,25,15,0,0,1,0,0,0,0,0
10016,1,1,23,2,0,0,0,0,0,0,0
10017,1,7,39,0,0,2,0,0,0,1,0
10019,1,11,26,0,0,1,1,0,0,0,0
10022,1,15,15,0,0,0,0,1,0,0,0
10025,1,13,25,0,1,1,0,0,0,0,0
10026,1,15,15,1,0,0,0,0,0,0,0
10030,1,13,15,1,0,0,0,0,0,0,0
10035,1,13,29,0,0,0,0,0,1,1,0
10036,1,9,15,0,0,0,1,0,0,0,0
10037,1,7,15,0,0,0,0,0,0,1,0
10040,1,9,15,1,0,0,0,0,0,0,0
10042,1,11,25,1,0,1,0,0,0,0,0
10044,1,13,101,1,1,3,2,0,1,1,0
10045,1,33,15,0,0,1,0,0,0,0,0
10046,1,21,78,2,1,2,0,1,0,1,0
10048,0,29,126,3,0,2,2,0,3,1,0
10049,1,11,26,1,0,0,1,0,0,0,0
10051,1,9,15,0,0,1,0,0,0,0,0
10052,1,21,23,2,0,0,0,0,0,0,0
10054,1,17,27,0,0,1,0,1,0,0,0
10055,1,5,137,2,1,3,0,1,1,4,1
10058,0,3,59,1,1,1,1,0,0,1,0
10062,1,13,15,0,0,0,0,0,1,0,0
10063,0,13,67,1,0,3,1,0,1,0,0
10064,1,1,29,0,1,0,0,0,0,1,0
10071,1,13,15,0,1,0,0,0,0,0,0
10075,0,13,76,1,0,4,1,1,0,0,0
10076,1,13,50,2,0,0,0,0,1,1,0
10077,0,13,56,1,0,1,2,1,0,0,0
10078,1,9,15,0,1,0,0,0,0,0,0
10082,1,13,15,0,0,0,1,0,0,0,0
10083,1,7,98,1,0,1,0,2,4,0,1
10086,1,11,15,0,0,0,1,0,0,0,0
10087,0,15,15,0,0,0,0,1,0,0,0
10089,1,1,82,1,1,2,0,1,0,2,0
10091,0,9,140,3,0,4,2,2,1,0,0
10092,1,3,139,2,0,3,2,1,2,2,1
10094,0,11,29,0,1,0,0,0,0,1,0
10095,0,1,49,0,0,2,1,0,1,0,0
10096,0,19,29,0,0,1,0,0,0,1,0
10099,1,11,28,1,0,0,0,0,1,0,0
10100,0,1,39,0,0,0,1,0,2,0,1
10104,0,1,15,0,0,0,0,0,0,1,0
10106,0,33,24,1,1,0,0,0,0,0,0
10107,0,13,15,0,0,0,1,0,0,0,0
10108,0,7,80,3,0,1,0,1,1,1,0
10109,1,25,79,1,0,3,1,1,1,0,0
10110,0,11,132,3,2,1,2,2,1,1,0
10111,1,13,81,2,0,1,0,1,0,3,0
10112,1,13,15,1,0,0,0,0,0,0,0
10113,1,9,15,0,0,0,0,0,0,1,0
10114,1,23,66,0,0,1,0,0,2,2,0
10119,1,1,25,1,0,1,0,0,0,0,0
10120,1,9,54,1,0,0,0,1,1,1,1
10121,1,13,104,2,0,3,0,1,1,2,0
10122,0,9,27,0,0,0,0,2,0,0,0
10125,1,13,65,2,1,2,0,0,1,0,0
10127,0,9,120,0,0,5,2,1,2,0,0
10128,1,15,15,0,1,0,0,0,0,0,0
10129,1,7,33,1,0,1,0,0,0,1,0
10130,1,27,26,0,0,1,1,0,0,0,0
10133,1,27,127,0,3,4,1,2,0,1,0
10134,1,29,15,0,0,1,0,0,0,0,0
10136,1,1,134,2,3,2,1,0,2,2,1
10137,0,5,24,0,2,0,0,0,0,0,1
10139,1,11,32,1,1,0,1,0,0,0,0
10142,1,29,15,0,0,1,0,0,0,0,0
10143,1,11,37,0,0,2,0,1,0,0,0
10144,0,11,25,0,0,2,0,0,0,0,0
10147,1,27,15,0,0,0,0,0,0,1,0
10148,1,23,29,0,0,1,0,0,0,1,0
10149,1,15,27,0,0,0,1,1,0,0,0
10151,1,15,102,5,0,2,0,0,0,2,0
10157,1,31,127,3,0,4,1,1,0,2,0
10158,0,13,28,0,1,0,0,0,1,0,1
10160,1,1,15,0,0,0,0,1,0,0,0
10163,1,11,15,0,0,1,0,0,0,0,0
10164,1,1,15,0,0,0,0,0,1,0,0
10166,1,11,15,0,0,1,0,0,0,0,0
10167,0,11,77,3,0,2,0,0,2,0,0
10170,1,9,25,0,0,2,0,0,0,0,0
10172,1,15,15,1,0,0,0,0,0,0,0
10176,1,13,122,0,1,3,1,3,0,2,0
10177,1,9,136,5,1,4,0,0,0,2,0
10184,1,21,15,1,0,0,0,0,0,0,0
10185,1,1,102,1,3,3,0,1,0,1,0
10186,1,17,29,1,0,0,0,0,0,1,0
10187,1,5,73,0,1,1,0,1,2,1,1
10190,1,9,15,0,0,0,1,0,0,0,0
10191,1,25,23,2,0,0,0,0,0,0,0
10192,0,1,50,1,0,1,0,0,1,1,0
10193,1,3,15,0,0,0,1,0,0,0,0
10195,1,35,29,0,0,1,0,0,0,1,0
10197,1,7,29,0,0,1,0,0,0,1,0
10204,1,15,24,1,1,0,0,0,0,0,0
10205,1,9,38,1,0,1,0,0,1,0,0
10208,1,25,29,1,0,0,0,0,0,1,0
10211,1,15,15,1,0,0,0,0,0,0,1
