id,gender,cogstm,emotsup,anti1,anti2,anti3,anti4,read1,read2,read3,read4
2,0,9,6,0,2,0,1,2.3,4.5,4.2,4.6
3,0,10,8,1,1,2,1,2.3,3.8,4.3,6.2
4,1,8,9,3,4,3,5,1.8,2.6,4.1,4
5,1,10,10,5,4,5,5,3.5,4.8,5.8,7.5
6,0,9,9,1,2,2,0,3.5,5.7,7,6.9
7,1,6,9,2,3,4,4,2.6,3.8,6.3,6.1
8,1,7,11,0,6,0,3,1.8,3.7,4.4,4.2
9,1,10,11,1,0,2,0,2.2,4,5.1,6.3
10,0,7,4,0,0,0,0,2.5,3.7,4.1,7.2
11,1,8,8,2,6,3,5,2.4,5,5.1,5.8
12,1,9,3,3,2,3,4,2.8,5.7,5.3,5.8
13,0,10,11,0,1,2,1,3.5,4.3,4.8,5.9
14,1,7,7,1,1,0,1,3.1,4.7,5.6,6.4
15,1,10,9,2,6,5,4,2.3,4.1,5.8,6.9
16,1,11,10,3,3,2,9,2.1,3.9,5,5.3
18,0,9,5,1,3,0,0,3.8,5.7,6.2,6.8
19,0,8,8,2,0,1,2,1.8,4.2,5.1,7.2
20,1,4,6,0,3,2,2,2.6,2.5,3.3,4.4
21,0,7,7,5,0,5,3,3.6,5.2,6,7.5
23,1,6,9,1,4,1,1,3,4.7,6.5,6.1
24,1,9,11,1,3,3,1,2.1,2.5,4,3.3
26,0,10,12,1,3,3,5,1.8,2.4,3.5,4.4
27,1,3,7,1,2,3,1,2.8,3.8,3.9,5
28,0,9,7,2,2,4,3,1.7,2.8,3.9,4.8
29,0,9,8,2,5,5,7,3.1,5.2,6.2,6.8
30,1,13,10,4,0,4,4,1.3,2.3,2.5,3.4
31,1,12,9,1,3,3,2,1.8,3.5,3.7,5.6
32,1,7,8,3,0,4,1,1.9,2.3,3,2.8
33,0,10,10,0,0,1,0,3.3,4.4,5.9,5.8
34,1,8,10,4,2,2,3,3.1,4.1,4.7,5.1
35,1,12,11,6,5,3,4,1.9,3,4.1,4.4
36,0,7,11,2,5,1,2,2.2,3.9,5.7,6
37,0,8,7,0,0,2,0,2.5,4,4.4,5.5
38,1,8,12,0,3,4,1,2.4,3.9,5.1,5.6
39,0,13,11,0,0,2,2,2,4.3,5,5.7
40,0,6,8,0,2,0,1,2.2,3.2,4.6,5.6
41,0,11,11,1,2,1,2,2.1,3.2,4.9,5.9
42,0,9,11,0,1,1,3,3.2,4,4.4,5.9
43,0,12,11,0,0,0,0,2.4,3.6,4.6,5.1
44,1,8,7,5,2,1,7,2.6,3.5,4.1,6.2
45,0,5,6,0,0,3,0,3.5,4.3,4.8,5.6
47,0,12,11,0,0,0,0,4.7,6,7,8
48,0,9,6,2,1,0,1,3.1,4.1,5.8,7.4
50,1,5,7,1,1,1,2,3.6,3.8,5.3,5.9
51,1,11,12,1,2,1,2,4,6.1,7.5,6.6
52,1,11,12,3,1,1,0,3.2,3.6,4.2,4.4
53,1,10,7,2,3,2,2,5.6,4.6,6,6.3
54,0,9,11,0,0,2,5,2.3,4.4,5.6,7.2
56,0,10,7,1,0,0,3,3.5,4.2,4.9,4.4
58,1,8,10,4,3,5,4,2.1,3,3.7,4.8
59,1,8,12,0,0,0,0,2.7,4.7,5.9,6.9
60,0,6,7,1,0,1,2,1.8,3.1,3.7,4.3
62,0,10,3,4,4,3,2,2.3,2.7,4.1,4.4
63,0,12,9,0,1,0,1,2.1,3.1,3.9,4.7
